Month,Bench,Games,Nodes,Positions,Unknown nodes,Unknown positions
2024-08,44262943988,1344115,72657369,51601270,41872062,41779094
2024-09,44262943988,1251182,67643861,48202888,39014049,38930378
2024-10,44262943988,1304642,70602936,50274948,40752411,40663666
2024-11,46456113101,1256949,67987945,48465156,39067766,38984023
2024-12,46456113101,1370952,74227206,52800474,42702759,42609891
2025-01,46456113101,1360070,73705259,52383587,42354278,42261509
2025-02,46456113101,1177546,63785553,45533031,36636196,36559278
2025-03,46456113101,1294813,70120470,49834558,40223385,40134903
2025-04,46456113101,1232047,66706142,47515882,38297040,38214055
2025-05,46456113101,1290849,69894245,49701199,40125047,40036396
2025-06,48454315961,1235641,66870596,47640637,38233740,38154276
2025-07,48454315961,1272911,68963609,49040207,39412785,39329808
2025-08,48454315961,1269147,68705569,48870076,39267088,39183453
2025-09,48454315961,1185328,64157948,45718149,36637966,36560554
2025-10,48454315961,1241115,67167799,47853907,38422572,38340837
2025-11,53035759834,1216467,65863785,46914258,36970070,36897619
2025-12,53035759834,1280530,69327572,49256566,38893805,38816860
